protocolo;nomeEmpresa;modalidade;tpNavegacao;situacao;ultimaAlteracaoPor;fase;regular;dtInicio;dtSolicitacao;dtConfirmacao;dtFechamento;J
201502156;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;JEDIEL SOUSA SILVA;REGISTRO;NÃO;7/4/2015 a 7/4/2015;12/5/2015;7/4/2015;7/4/2015;52124
201502157;FLUMAR TRANSPORTES DE QUIMICOS E GASES LTDA;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;INGRID LAZZARIN;FECHAMENTO;NÃO;17/5/2015 a 21/5/2015;12/5/2015;17/5/2015;27/5/2015;52125
201502158;C G APOIO MARÍTIMO LTDA;CASCO NU;APOIO PORTUÁRIO;REGISTRO CRIADO;CLAUDIO BARRETO DOS SANTOS;REGISTRO;NÃO;15/5/2015;12/5/2015;15/5/2015;16/5/2017;52126
201502159;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;1/5/2015;12/5/2015;1/5/2015;1/5/2015;52127
201502160;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;5/5/2015;12/5/2015;5/5/2015;5/5/2015;52128
201502161;PETRÓLEO BRASILEIRO S.A - PETROBRAS;VIAGEM;LONGO CURSO;REGISTRO ENCERRADO;FELIPE PUGIAN JARDIM;REGISTRO;NÃO;9/5/2015;12/5/2015;9/5/2015;23/5/2015;52129
201502162;CIA DE NAVEGAÇÃO NORSUL;TEMPO (ÚNICA VIAGEM);CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;MARIA LUIZA VITORIANO;FECHAMENTO;NÃO;20/5/2015 a 24/5/2015;14/5/2015;24/5/2015;2/6/2015;52130
201502163;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;VIAGEM;LONGO CURSO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;11/5/2015;12/5/2015;11/5/2015;23/6/2015;52131
201502164;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO CANCELADO E LIBERADO;LUIS ROBERTO DA SILVA CARVALHO;REGISTRO;NÃO;8/4/2015;12/5/2015;8/4/2015;8/4/2015;52132
201502165;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;ARTHUR SOUZA DE ALMEIDA SOUTO;REGISTRO;NÃO;8/4/2015 a 8/4/2015;12/5/2015;8/4/2015;8/4/2015;52133
201502166;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;ARTHUR SOUZA DE ALMEIDA SOUTO;REGISTRO;NÃO;9/4/2015 a 9/4/2015;12/5/2015;9/4/2015;9/4/2015;52134
201502167;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;ARTHUR SOUZA DE ALMEIDA SOUTO;REGISTRO;NÃO;10/4/2015 a 10/4/2015;12/5/2015;10/4/2015;10/4/2015;52135
201502168;PETRÓLEO BRASILEIRO S.A - PETROBRAS;VIAGEM;LONGO CURSO;AFRETAMENTO CANCELADO;RÔMULO CASTELO BRANCO GOMES DE ARAUJO;CIRCULARIZAÇÃO;NÃO;24/5/2015 a 28/5/2015;;;;52136
201502169;PETRÓLEO BRASILEIRO S.A - PETROBRAS;VIAGEM;LONGO CURSO;AFRETAMENTO FECHADO E LIBERADO;LEANDRO SÁ DO NASCIMENTO;FECHAMENTO;NÃO;25/5/2015 a 29/5/2015;15/5/2015;25/5/2015;9/7/2015;52137
201502170;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;APOIO MARÍTIMO;AGUARDANDO ENCERRAMENTO DO REGISTRO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;8/5/2015 a 8/5/2015;12/5/2015;8/5/2015;6/5/2023;52138
201502171;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO CANCELADO E LIBERADO;LUIS ROBERTO DA SILVA CARVALHO;REGISTRO;NÃO;11/4/2015;12/5/2015;11/4/2015;11/4/2015;52139
201502172;PETRÓLEO BRASILEIRO S.A - PETROBRAS;VIAGEM;LONGO CURSO;DISPONÍVEL PARA FECHAMENTO;AUGUSTO BERTON VEDAN;CONFIRMAÇÃO;NÃO;26/5/2015 a 30/5/2015;18/5/2015;26/5/2015;;52140
201502173;LOG-IN LOGÍSTICA INTERMODAL S/A;ESPAÇO;CABOTAGEM;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;8/5/2015;12/5/2015;8/5/2015;13/5/2015;52141
201502174;LOG-IN LOGÍSTICA INTERMODAL S/A;ESPAÇO;CABOTAGEM;REGISTRO CANCELADO E LIBERADO;LUIS ROBERTO DA SILVA CARVALHO;REGISTRO;NÃO;9/5/2015;12/5/2015;9/5/2015;23/5/2015;52142
201502175;LOG-IN LOGÍSTICA INTERMODAL S/A;ESPAÇO;CABOTAGEM;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;6/5/2015;12/5/2015;6/5/2015;21/5/2015;52143
201502176;LOG-IN LOGÍSTICA INTERMODAL S/A;ESPAÇO;CABOTAGEM;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;7/5/2015;12/5/2015;7/5/2015;21/5/2015;52144
201502177;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;LONGO CURSO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;28/4/2015;12/5/2015;28/4/2015;26/5/2015;52145
201502178;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;JEDIEL SOUSA SILVA;REGISTRO;NÃO;8/4/2015 a 8/4/2015;12/5/2015;8/4/2015;8/4/2015;52146
201502179;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;JEDIEL SOUSA SILVA;REGISTRO;NÃO;11/4/2015 a 11/4/2015;12/5/2015;11/4/2015;11/4/2015;52147
201502180;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;JEDIEL SOUSA SILVA;REGISTRO;NÃO;11/4/2015 a 11/4/2015;12/5/2015;11/4/2015;11/4/2015;52148
201502181;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;JEDIEL SOUSA SILVA;REGISTRO;NÃO;13/4/2015 a 13/4/2015;12/5/2015;13/4/2015;13/4/2015;52149
201502182;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;JEDIEL SOUSA SILVA;REGISTRO;NÃO;13/4/2015 a 13/4/2015;12/5/2015;13/4/2015;13/4/2015;52150
201502183;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;13/4/2015 a 13/4/2015;12/5/2015;13/4/2015;13/4/2015;52151
201502184;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;LONGO CURSO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;28/4/2015;12/5/2015;28/4/2015;14/6/2015;52152
201502185;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;LONGO CURSO;AGUARDANDO ENCERRAMENTO DO REGISTRO;RÔMULO CASTELO BRANCO GOMES DE ARAUJO;REGISTRO;NÃO;1/5/2015;12/5/2015;1/5/2015;20/5/2015;52153
201502186;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;LONGO CURSO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;29/4/2015;12/5/2015;29/4/2015;25/5/2015;52154
201502187;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;5/5/2015;13/5/2015;5/5/2015;5/5/2015;52155
201502188;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;7/5/2015;13/5/2015;7/5/2015;7/5/2015;52156
201502189;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;7/5/2015;13/5/2015;7/5/2015;7/5/2015;52157
201502190;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;7/5/2015;13/5/2015;7/5/2015;7/5/2015;52158
201502191;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;7/5/2015;13/5/2015;7/5/2015;7/5/2015;52159
201502192;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;7/5/2015;13/5/2015;7/5/2015;7/5/2015;52160
201502193;SOBRARE SERVEMAR LTDA;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;7/5/2015;13/5/2015;7/5/2015;7/5/2015;52161
201502194;MAXXIMUS SERVIÇOS MARÍTIMOS LTDA;CASCO NU;APOIO PORTUÁRIO;AGUARDANDO GERAÇÃO DE AUTORIZAÇÃO DE REGISTRO;CONSTANTINO DA SILVA BARBOSA;REGISTRO;NÃO;31/3/2013 a 31/3/2013;13/5/2015;31/3/2013;29/3/2023;52162
201502195;SOBRARE SERVEMAR LTDA;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;7/5/2015;13/5/2015;7/5/2015;7/5/2015;52163
201502196;PETRÓLEO BRASILEIRO S.A - PETROBRAS;VIAGEM;LONGO CURSO;AGUARDANDO ENCERRAMENTO DO REGISTRO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;4/5/2015;13/5/2015;4/5/2015;2/8/2015;52164
201502197;PETRÓLEO BRASILEIRO S.A - PETROBRAS;VIAGEM;LONGO CURSO;REGISTRO ENCERRADO;FELIPE PUGIAN JARDIM;REGISTRO;NÃO;11/5/2015;13/5/2015;11/5/2015;10/6/2015;52165
201502198;PETRÓLEO BRASILEIRO S.A - PETROBRAS;VIAGEM;LONGO CURSO;REGISTRO CANCELADO E LIBERADO;LUIS ROBERTO DA SILVA CARVALHO;REGISTRO;NÃO;11/5/2015;13/5/2015;11/5/2015;10/7/2015;52166
201502199;PETRÓLEO BRASILEIRO S.A - PETROBRAS;VIAGEM;LONGO CURSO;REGISTRO ENCERRADO;FELIPE PUGIAN JARDIM;REGISTRO;NÃO;12/5/2015;13/5/2015;12/5/2015;30/6/2015;52167
